Day,Week,Date,Module,Module Text,Topics,Best,Best Score,2nd Best,2nd Best Score,3rd Best,3rd Best Scrore,4rd Best,4rd Best Scrore,5rd Best,5rd Best Scrore,Mapping,Mentor Dictionary
Day1,Week1,2019-03-23,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R & Python Introduction,,,,,,,,,,,,
Day2,Week1,2019-03-24,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Praphul Chandra,3.3600000000000003,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Dakshinamurthy Kolluru,1.6,Dr. Sreerama Murthy,1.0,,,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Sreerama Murthy': 1.0}"
Day3,Week2,2019-03-30,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,4.800000000000002,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Surya Kompalli,1.6,Dr. Dakshinamurthy Kolluru,1.6,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Surya Kompalli': 1.6, 'Dr. Sreerama Murthy': 1.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day4,Week2,2019-03-31,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Anand Jayaraman,4.800000000000002,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Dakshinamurthy Kolluru,1.6,Dr. Sreerama Murthy,1.0,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Sreerama Murthy': 1.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day5,Week3,2019-04-06,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,4.800000000000002,Dr. Anand Jayaraman,4.800000000000002,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Surya Kompalli,1.6,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Surya Kompalli': 1.6, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 1.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Sridhar Pappu': 4.800000000000002, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day6,Week3,2019-04-07,CSE 7315c,Foundations of Probability and Statistics for Data Science,Foundations of Probability and Statistics for Data Science,Dr. Sridhar Pappu,4.800000000000002,Dr. Anand Jayaraman,4.800000000000002,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Praphul Chandra,3.3600000000000003,Dr. Surya Kompalli,1.6,['Foundations of Probability and Statistics for Data Science'],"{'Dr. Surya Kompalli': 1.6, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Sreerama Murthy': 1.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Sridhar Pappu': 4.800000000000002, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Praphul Chandra': 3.3600000000000003}"
Day7,Week4,2019-04-13,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,R Preprocessing,,,,,,,,,,,,
Day8,Week4,2019-04-14,CSE 7212c,Essential Engineering Skills in Big Data Analytics Using R and Python,Python Preprocessing,,,,,,,,,,,,
,,2019-04-20,,,,,,,,,,,,,,,
,,2019-04-21,,,,,,,,,,,,,,,
Day9,Week5,2019-04-27,CUTe,CSE 7212c,,,,,,,,,,,,,
Day10,Week5,2019-04-28,CSE 7302c,Statistics and Probability in Decision Modeling,"Introduction to Supervised Methods, Linear Regression",Dr. Praphul Chandra,6.7200000000000015,Dr. Anand Jayaraman,4.800000000000002,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Surya Kompalli,3.2,Dr. Sreerama Murthy,2.0,['Linear Regression'],"{'Dr. Surya Kompalli': 3.2, 'Dr. Sreerama Murthy': 2.0, 'Dr. Kishore Konda': 1.6, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Praphul Chandra': 6.7200000000000015}"
Day11,Week6,2019-05-04,CSE 7302c,Statistics and Probability in Decision Modeling,Multiple Linear Regression and Feature Selection (StepAIC & VIF),Dr. Anand Jayaraman,4.800000000000002,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Surya Kompalli,3.2,Dr. Dakshinamurthy Kolluru,1.6,,,['Linear Regression'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Surya Kompalli': 3.2, 'Dr. Anand Jayaraman': 4.800000000000002, 'Dr. Rohit Lotlikar': 3.3600000000000003}"
Day12,Week6,2019-05-05,CSE 7302c,Statistics and Probability in Decision Modeling,Logistic Regression & Naive Bayes Classifier,Dr. Anand Jayaraman,8.000000000000002,Dr. Rohit Lotlikar,6.720000000000001,Dr. Surya Kompalli,6.4,Dr. Dakshinamurthy Kolluru,3.2,,,"['Logistic Regression', ' Naive Bayes']","{'Dr. Dakshinamurthy Kolluru': 3.2, 'Dr. Surya Kompalli': 6.4, 'Dr. Anand Jayaraman': 8.000000000000002, 'Dr. Rohit Lotlikar': 6.720000000000001}"
Day13,Week7,2019-05-11,CSE 7302c,Statistics and Probability in Decision Modeling,PCA & Regularization,Dr. Praphul Chandra,13.440000000000003,Dr. Anand Jayaraman,9.600000000000003,Dr. Rohit Lotlikar,6.720000000000001,Dr. Surya Kompalli,3.2,Dr. Dakshinamurthy Kolluru,3.2,"['PCA', ' Regularization']","{'Dr. Surya Kompalli': 3.2, 'Dr. Rohit Lotlikar': 6.720000000000001, 'Dr. Dakshinamurthy Kolluru': 3.2, 'Dr. Anand Jayaraman': 9.600000000000003, 'Dr. Praphul Chandra': 13.440000000000003}"
Day14,Week7,2019-05-12,CSE 7302c,Statistics and Probability in Decision Modeling,Time Series,Dr. Praphul Chandra,3.3600000000000003,Dr. Anand Narasimhamurthy,3.3600000000000003,Dr. Dakshinamurthy Kolluru,1.6,,,,,['Time Series'],"{'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Praphul Chandra': 3.3600000000000003, 'Dr. Anand Narasimhamurthy': 3.3600000000000003}"
Day15,Week8,2019-05-18,CUTe,CSE 7302c,,,,,,,,,,,,,
Day16,Week8,2019-05-19,CSE 7305c,Methods and Algorithms in Machine Learning,"Introduction to Unsupervised Methods, Distance Metrics, Clustering (Hierarchical & Kmeans)",Dr. Rohit Lotlikar,6.7200000000000015,Dr. Surya Kompalli,4.800000000000002,Dr. Kishore Konda,4.800000000000002,Dr. Anand Narasimhamurthy,3.3600000000000003,Dr. Anand Jayaraman,3.2,['Clustering'],"{'Dr. Manish Gupta': 3.0, 'Dr. Surya Kompalli': 4.800000000000002, 'Dr. Anand Narasimhamurthy': 3.3600000000000003, 'Dr. Sreerama Murthy': 3.0, 'Dr. Kishore Konda': 4.800000000000002, 'Dr. Rohit Lotlikar': 6.7200000000000015, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 3.2}"
Day17,Week9,2019-05-25,CSE 7305c,Methods and Algorithms in Machine Learning,Association Rules (Apriori) and Decision Trees (CART & C50),Dr. Anand Narasimhamurthy,10.080000000000002,Dr. Kishore Konda,6.400000000000002,Dr. Anand Jayaraman,6.4,Dr. Manish Gupta,6.0,Dr. Sreerama Murthy,6.0,"['Decision Trees', ' Association Rules']","{'Dr. Manish Gupta': 6.0, 'Dr. Dakshinamurthy Kolluru': 3.2, 'Dr. Anand Narasimhamurthy': 10.080000000000002, 'Dr. Sreerama Murthy': 6.0, 'Dr. Kishore Konda': 6.400000000000002, 'Dr. Sridhar Pappu': 3.2, 'Dr. Anand Jayaraman': 6.4}"
Day18,Week9,2019-05-26,CSE 7305c,Methods and Algorithms in Machine Learning,KNN & Collaborative Filtering,Dr. Anand Narasimhamurthy,3.3600000000000003,Dr. Rohit Lotlikar,3.3600000000000003,Dr. Anand Jayaraman,3.2,Dr. Manish Gupta,3.0,Dr. Sreerama Murthy,3.0,['KNN & Collabrative Filtering'],"{'Dr. Manish Gupta': 3.0, 'Dr. Anand Narasimhamurthy': 3.3600000000000003, 'Dr. Sreerama Murthy': 3.0, 'Dr. Rohit Lotlikar': 3.3600000000000003, 'Dr. Dakshinamurthy Kolluru': 1.6, 'Dr. Anand Jayaraman': 3.2}"
